#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B213B5
#Date Time: 2024-02-15 03:03:32.951
#Start: 500 Hz
#Stop: 2e+07 Hz
#Steps: 501
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.51697 V
#Offset: -0.000289588 V
#Relative: no
#Channel: Channel 2
#Range: 5.57616 V
#Offset: -0.000284749 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
500.0000000000009,-0.6350284879073278,-56.8912462620851,-42.96049523372285
510.7097208762208,-0.6370476348535554,-57.83028419432657,-35.59154439395047
521.6488379949326,-0.647658395041931,-58.30146964042591,-30.85899725090674
532.822264895593,-0.6491513882310158,-56.69093281701614,-40.14204491020804
544.2350203629271,-0.657292318493335,-56.71214416090366,-50.4686823222745
555.8922306812275,-0.6676013430033262,-57.52487548885174,-42.8292867434813
567.7991319369378,-0.6673417352970085,-57.01209518535894,-35.24277002676577
579.9610723705468,-0.6744237753820936,-58.61476225020348,-41.75810839722076
592.383514778869,-0.6798498963739437,-57.01036542600866,-43.87801657271397
605.0720389687805,-0.6877269496389149,-56.59817015504998,-38.11517134530262
618.0323442635009,-0.6922240372058337,-57.48231429007208,-34.85424673210024
631.2702520625768,-0.7025563148642339,-57.68400644687985,-41.87170912576972
644.791708456679,-0.7053435651657958,-57.52871284087722,-40.7442591497202
658.6027868984215,-0.7183782588575873,-57.23893422537739,-42.21414539309104
672.7096909303867,-0.724473879847314,-55.95679782157998,-39.80606031865345
687.1187569715719,-0.7265890504435175,-56.15960628708594,-41.28873237609139
701.8364571635318,-0.7376269442014016,-56.77478336266373,-30.40609512853135
716.8694022774847,-0.7478088856995355,-56.23862507090236,-37.1977455268223
732.2243446836735,-0.7537875137258583,-56.98596132224779,-38.55756678523633
747.9081813843421,-0.762394226569601,-56.92827340355581,-42.28880987286755
763.9279571116773,-0.7776181978777524,-58.12112288273152,-41.88547956881882
780.290867492091,-0.7824198165718599,-55.54334729830826,-38.23854410529285
797.004262278297,-0.787881417521362,-56.01571386875609,-36.98014867964022
814.0756486506131,-0.8016262753266147,-56.98684476878203,-42.23443523010738
831.5126945889645,-0.8099296622940276,-56.01078961039801,-43.8009424043308
849.3232323171252,-0.8191287307045134,-54.94891657165833,-44.06057715021923
867.5152618207356,-0.8267841356698027,-57.46565994742328,-40.85370895075253
886.0969544406555,-0.8396313280415767,-55.8917029513683,-47.96518238240561
905.0766565433113,-0.8505138036057792,-58.37889841819354,-41.1891625721485
924.4628932696336,-0.858265629500361,-55.08449391395391,-39.49786571053296
944.2643723643124,-0.8704298530140167,-56.16845987442056,-31.26061451583841
964.4899880870739,-0.875678438396183,-54.25627065629293,-40.57757579131113
985.1488252077163,-0.8928586112910346,-56.60243599708024,-37.59109905875033
1006.250163086735,-0.9043072711433408,-53.7025060294869,-41.24131639537907
1027.803479843355,-0.9114848020639449,-55.40317552485593,-42.79734546354263
1049.818456612814,-0.9248551623100218,-54.65313829526878,-45.47964889571726
1072.304981894866,-0.9421506757473551,-55.09627154931336,-53.02702619944529
1095.273155995412,-0.9503370964012009,-54.62454043669617,-46.58563971015828
1118.733295563266,-0.9640272518027124,-55.12311351962609,-45.78369349906582
1142.695938224099,-0.9784227240043555,-55.55042051666592,-61.99326104302698
1167.171847313637,-0.9933224558207904,-54.11190817185614,-43.85626805113107
1192.172016712258,-1.005403318500265,-53.43538879039295,-51.25754245857782
1217.707675783115,-1.013286638076347,-54.80751831513331,-46.14762120741038
1243.790294416048,-1.029200864986429,-53.8570125771167,-53.24412722647196
1270.431588179542,-1.048003827693234,-53.6360514478435,-47.01237889719341
1297.643523583014,-1.059535469321659,-52.2639551519531,-49.79886024948442
1325.438323451828,-1.082026849039003,-54.27744200684103,-52.63745335658187
1353.828472417455,-1.094350118794019,-53.38422359795325,-58.6701376239829
1382.826722525193,-1.107382764221392,-53.32847975150135,-49.32667479694673
1412.446098962038,-1.130768095012742,-54.41629657166174,-66.07372176044811
1442.699905907216,-1.146022611246325,-52.69510425066926,-60.8160708738939
1473.601732508043,-1.161195363231927,-52.38676385847796,-63.9371480017547
1505.165458983793,-1.180391009832383,-53.03103523158625,-57.73371676093412
1537.405262860281,-1.201852383047438,-53.12806238364107,-60.11915866048697
1570.335625338007,-1.216751725200899,-53.50744016522023,-66.62775369418428
1603.971337796716,-1.233859747697265,-51.99835243624732,-65.22163752998163
1638.327508439235,-1.258274318341181,-53.59144003754301,-62.94364733971435
1673.419569077666,-1.270105085723363,-53.43292437236247,-68.37943247315069
1709.263282064918,-1.284346118949502,-52.50368625325095,-69.69253705937645
1745.874747374691,-1.311049984715239,-53.09621805335041,-71.16241858194286
1783.270409833135,-1.331787046497579,-50.7380327114658,-76.18430786922831
1821.467066505405,-1.351469373700976,-52.31502954217721,-69.92571325542607
1860.481874240405,-1.369564522187729,-51.12838344904315,-79.13195887737817
1900.332357377163,-1.389241416747446,-51.48508555261473,-79.10324139371484
1941.03641561628,-1.40820655010118,-51.56640236726343,-83.03115055317707
1982.612332059933,-1.431801852369038,-51.28117914199081,-76.88789638908328
2025.078781424159,-1.449352557032821,-51.50282525295967,-79.26707672006901
2068.454838426975,-1.467711726505236,-51.40067258030633,-88.05500768124372
2112.759986356212,-1.488962014267117,-50.79423046444055,-86.86758022348214
2158.014125820852,-1.503549347046885,-50.00424371876385,-84.62935931751323
