#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B213B5
#Date Time: 2024-02-15 03:33:22.670
#Start: 500 Hz
#Stop: 2e+07 Hz
#Steps: 501
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.51697 V
#Offset: -0.000289588 V
#Relative: no
#Channel: Channel 2
#Range: 5.57616 V
#Offset: -0.000284749 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
500.0000000000009,-0.6045275549835912,-42.17462605342091,-6.501653513092852
510.7097208762208,-0.5842248117699891,-41.7323602623976,-8.691781650499621
521.6488379949326,-0.5899156668998192,-42.26154140889406,-0.2777579423841942
532.822264895593,-0.5978052529993169,-42.05828782964041,-2.165818950481261
544.2350203629271,-0.5973453550004235,-42.46614512435087,1.445350021197567
555.8922306812275,-0.6208088705677344,-42.51816940056068,2.91374941640295
567.7991319369378,-0.6112222009162336,-40.91002513451975,-1.299791763149851
579.9610723705468,-0.6022062712490539,-41.48896548315938,1.788246303060919
592.383514778869,-0.6097613435972644,-41.68545532121188,-11.12338272996863
605.0720389687805,-0.6115238901865928,-41.69838124007086,-0.07429160745186465
618.0323442635009,-0.6208618078639264,-41.30650081208987,-4.867882345972132
631.2702520625768,-0.611239839209295,-42.23081335220677,-8.758612181617638
644.791708456679,-0.6158292992789292,-42.06456588142665,-9.701698406182555
658.6027868984215,-0.61708851519974,-42.74072246006391,-7.483870858877514
672.7096909303867,-0.6338567099912691,-42.24119045023354,-0.6398483401524715
687.1187569715719,-0.6038527655676236,-41.74197286139439,-7.670803842432884
701.8364571635318,-0.6166001225369606,-41.80283680744122,-1.881347780648617
716.8694022774847,-0.6162295379535452,-40.83928470457324,-7.63385742983302
732.2243446836735,-0.6331385141040646,-41.94016585853674,-12.71611388665653
747.9081813843421,-0.6222311086751986,-41.44061074622663,-0.7476204598871512
763.9279571116773,-0.6490140480948142,-42.23540096166672,-9.458223625439734
780.290867492091,-0.6207929962359581,-42.03278963588367,-10.79319441166299
797.004262278297,-0.6183190050823649,-41.76662469806618,-9.192892827722767
814.0756486506131,-0.6470997190759349,-41.94295292613366,-1.595385549874243
831.5126945889645,-0.6292809456697291,-41.56657736739734,-5.309197144053499
849.3232323171252,-0.6204742092724215,-41.6488525946661,-15.04311106585266
867.5152618207356,-0.6201922808913746,-42.32740605735611,-4.535362431196809
886.0969544406555,-0.6274622659470794,-41.92067548774787,-3.836875248113433
905.0766565433113,-0.6253609089479667,-42.04987265965805,-8.132666404558773
924.4628932696336,-0.6381760574233143,-41.47724206389002,-15.03304017257361
944.2643723643124,-0.6436553461151764,-41.68683588764847,-8.07327609975315
964.4899880870739,-0.6613897630110399,-41.81726447704389,-1.631655411753098
985.1488252077163,-0.6382236193234088,-42.42905222387208,-3.571256079882056
1006.250163086735,-0.6368663605147629,-41.12160512026661,-12.00781181257312
1027.803479843355,-0.6442494716814282,-41.72186901175681,-3.875758058044373
1049.818456612814,-0.6376307313708078,-41.99323304384578,-5.584014721191653
1072.304981894866,-0.6356076858738245,-41.47528760995004,-10.01058587453687
1095.273155995412,-0.6418455291780647,-41.83702477741975,-18.61061810255043
1118.733295563266,-0.625520061810878,-41.19048793872143,-6.846792505920197
1142.695938224099,-0.6410315649773421,-42.30930771560836,-14.29794872458343
1167.171847313637,-0.6644192320381187,-42.1564928975282,-10.05662001705867
1192.172016712258,-0.6481985629764544,-41.86632581035671,-19.01670703588316
1217.707675783115,-0.6519774784228272,-42.49010974376046,-7.538233032984576
1243.790294416048,-0.6658417870966979,-41.05977953765102,-15.94189083522708
1270.431588179542,-0.6453464915296871,-41.632126338018,-2.697166406562881
1297.643523583014,-0.639194711614261,-41.95396963898876,-6.431514892140394
1325.438323451828,-0.6602921788775346,-42.75333834259607,-10.54112945242556
1353.828472417455,-0.64761859453977,-41.73613880696798,-10.08671061793174
1382.826722525193,-0.6494802588809923,-41.96973393285427,-8.157137761067423
1412.446098962038,-0.6380820411498566,-41.95048170539196,-14.91932841556098
1442.699905907216,-0.6620971693543229,-42.12750710101304,-10.8222259525918
1473.601732508043,-0.6542933965852424,-42.03415205135699,-16.15604102954841
1505.165458983793,-0.6519635463321817,-41.71543911927868,-5.527680331044181
1537.405262860281,-0.6791512274537648,-41.97370124471614,-13.21216586050162
1570.335625338007,-0.6407595121095554,-42.2819480838218,-21.08931049135156
1603.971337796716,-0.6518040683390978,-41.54997272102087,-6.173612519551609
1638.327508439235,-0.6539359061088191,-40.76926917548298,-11.24435257217466
1673.419569077666,-0.6184195778499344,-41.52078772579429,-12.71623743773299
1709.263282064918,-0.6400877596724129,-41.05908713068526,-12.3518407147005
1745.874747374691,-0.6184643943356519,-42.51820681129736,-7.440578645047213
1783.270409833135,-0.6385364345510725,-41.42509790467219,-7.034825752904086
1821.467066505405,-0.654807565573813,-42.03670195515709,-13.02088444686243
1860.481874240405,-0.6244879506907882,-42.40015932948354,-19.27159136586752
1900.332357377163,-0.6324892920676816,-41.03518459617127,7.250610229804742
1941.03641561628,-0.6469235651520771,-42.43884081829206,-9.501767016149381
1982.612332059933,-0.6413090883624628,-41.92858115853469,-18.56033458865819
2025.078781424159,-0.6467307416087253,-43.19154705617753,-9.64237010569614
2068.454838426975,-0.6369826769816445,-42.89512304962346,-18.75090851014023
2112.759986356212,-0.6611667930280638,-43.26485962175926,-1.853136399956578
2158.014125820852,-0.6518030846901453,-41.96318108227348,-8.798061576767646
2204.237583689811,-0.6172650434238508,-43.017181316925,-4.144581298367633
2251.451122222194,-0.6499929107335649,-41.94877470348642,-10.82963299352846
2299.675948393094,-0.6541754809449424,-42.22028272071364,-23.17296858298953
2348.933723419184,-0.6567850318124302,-42.88295992118518,-16.78567808216483
2399.246572488303,-0.6351574076441058,-45.26395249118062,-25.16265609024335
