#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B213B5
#Date Time: 2024-01-20 15:02:59.745
#Start: 1 Hz
#Stop: 2.5e+07 Hz
#Steps: 501
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.51697 V
#Offset: -0.000289588 V
#Relative: no
#Channel: Channel 2
#Range: 5.57616 V
#Offset: -0.000284749 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1,-0.005469149708874016,-0.004231686959800939,-0.8221740985221317
1.034655760419527,-0.005297058392710408,-0.004280856544856966,-0.8500221977731505
1.07051254256931,-0.005201927384472567,-0.004447884352511919,-0.8788572213963107
1.107611968770691,-0.005265609558631154,-0.004662713854570341,-0.9088879568215362
1.145997103798208,-0.005361584154388008,-0.004664566751079353,-0.9398792068768175
1.185712504868912,-0.005254099452059787,-0.005011187981683725,-0.9719463772908873
1.226804273364085,-0.005167018636652239,-0.005217804487529253,-1.005133170802453
1.269320108343442,-0.005176295440706469,-0.005522710703507044,-1.039432393801839
1.313309361913882,-0.005249440660255022,-0.005797808444430656,-1.074870504781589
1.35882309651709,-0.005334011630246834,-0.005984631427882595,-1.111437470226244
1.405914144202508,-0.005457538681359245,-0.005977365997802998,-1.149454066839036
1.454637167954414,-0.005592796059008559,-0.006282857567947123,-1.188760972324935
1.50504872514438,-0.005435724728336916,-0.006834125278375592,-1.229382178734459
1.557207333182701,-0.005540330803603146,-0.006937131995977895,-1.271233154146337
1.61117353744501,-0.005328725321533017,-0.007529721907601461,-1.314661789729463
1.667009981552984,-0.005676590696910802,-0.00766538369603159,-1.359505283060249
1.724781480090647,-0.005644996058547706,-0.008046561038600377,-1.405946036315249
1.784555093840704,-0.005798508492858271,-0.008351317025419389,-1.453874668006515
1.846400207628293,-0.005737492042744526,-0.008696949953271126,-1.503478488335336
1.910388610862427,-0.005730322142271186,-0.008887142031131851,-1.554754246153525
1.976594580868667,-0.005991713270966422,-0.009210217844728577,-1.607862865965137
2.045094969109785,-0.006277333858919095,-0.009758499304987789,-1.65791471478925
2.115969290394437,-0.00635971585627087,-0.01015797200520176,-1.714472770628942
2.189299815177422,-0.006527605389482281,-0.01047343514081776,-1.772816652347146
2.265171665058724,-0.006543505126900402,-0.01084421364494346,-1.833256554864616
2.343672911592103,-0.006555865569780147,-0.01131993583952282,-1.895614886312376
2.424894678517972,-0.006606007201162006,-0.01208839345089211,-1.960147402302973
2.508931247539276,-0.006768495011601372,-0.01267873327636119,-2.026899308789393
2.595880167763065,-0.006746817940920791,-0.01318691605250362,-2.095996269021068
2.685842368934861,-0.00696172535191851,-0.01379744696067524,-2.167410084310057
2.778922278597287,-0.006992827825719953,-0.01442337839154929,-2.24131613401666
2.875227943308838,-0.00715058296915008,-0.01512470903163825,-2.317520759550436
2.974871154063677,-0.007179135628499161,-0.0160677702067867,-2.396510433786
3.077967576057874,-0.007303526158302466,-0.01679106248859493,-2.478091333671201
3.184636882952806,-0.007613372248245514,-0.01758027904979158,-2.562417736354118
3.295002895791605,-0.007787952818756406,-0.0183604575558796,-2.649617411266025
3.409193726729804,-0.008125644953377024,-0.01919663834730265,-2.73970422177563
3.527341927747104,-0.008609355757174563,-0.01985603376238124,-2.83306825371728
3.649584644512857,-0.008627811399795028,-0.02097625757438988,-2.929495716169801
3.776063775583885,-0.008850245212148142,-0.0220645434766132,-3.029353291143957
3.906926137119372,-0.009075180583634868,-0.02312844833365593,-3.13241544294207
4.042323633304166,-0.009295722685465736,-0.0243194659255665,-3.239123782619877
4.182413432678153,-0.009718803240665598,-0.02518124127159458,-3.349344632773896
4.327358150576456,-0.01019438487714065,-0.02662350161347954,-3.463227424445756
4.477326037892327,-0.01075226695465458,-0.02782544601059758,-3.581238020090819
4.63249117638163,-0.0112717502498356,-0.02904151963437013,-3.703076074917393
4.793033680735881,-0.01182444978230061,-0.03049151703640426,-3.828962301907377
4.959139907658194,-0.0123610589853066,-0.03204457052529744,-3.959316466582138
5.131002672184909,-0.01297737725152751,-0.03362147909764622,-4.093927811400823
5.308821471504098,-0.01362941508947599,-0.03556361504992223,-4.233193720110739
5.492802716530592,-0.01429880174730256,-0.03753441969282284,-4.377147510945487
5.6831599715064,-0.01513025508030836,-0.03944655175122484,-4.52599975909555
5.880114201904767,-0.01589286091385632,-0.04163622224155596,-4.679736222589886
6.083894030925445,-0.01708810281876777,-0.04351999470787342,-4.838774414756254
6.294736004878984,-0.01784642083401552,-0.04594870207731505,-5.003335637391157
6.512884867768236,-0.01895746485340095,-0.0483674239308081,-5.173387886909966
6.738593845385584,-0.02019209013793927,-0.05083509086552682,-5.349228731912596
6.972124939255761,-0.02483275591270897,-0.05360941771577821,-5.530995888274904
7.213749230765614,-0.04065691735873256,-0.0565414774756138,-5.718956270921314
7.463747195833583,-0.06766731340929986,-0.05948263091792848,-5.912146591486486
7.722409030484303,-0.1057591803229846,-0.06282880598237027,-6.111971614333842
7.990034987706354,-0.1551534358609984,-0.06620195030565454,-6.318654195907198
8.266935725983954,-0.2161708541979713,-0.06962761484042969,-6.53230511029999
8.553432669907277,-0.2878780225777189,-0.0733284421707682,-6.753239577368639
8.849858383280152,-0.3710222438140351,-0.07729723680668955,-6.981613240992237
9.156556955157843,-0.4730677337088776,-0.08176199151333971,-7.217532245056782
9.473884399263541,-0.5961820773483635,-0.08617043578612354,-7.461128262547666
9.802209067246727,-0.7395084119993447,-0.09080192655623576,-7.712463145371325
10.14191207626334,-0.9014943579534387,-0.09576111084603064,-7.972140629616142
10.49338775137422,-1.080830664804844,-0.1009796297817957,-8.240179338297729
10.85704408327506,-1.276427948121522,-0.1064697655213085,-8.516981243157316
11.23330320188927,-1.486408000246932,-0.1125451581148354,-8.802865989793725
11.62260186637385,-1.709526175574126,-0.118961830299136,-9.097820772121285
12.02539197210646,-1.943991121345521,-0.1257981898979072,-9.402286655882005
12.44214107524268,-2.188197603431215,-0.1326656914068882,-9.7168201903929
12.87333293545223,-2.439925250681497,-0.1400000888176927,-10.04133266507585
13.31946807746409,-2.697551437773283,-0.1480832967698673,-10.37659346525097
13.78106437207222,-2.959741643881854,-0.1563430912909925,-10.72221232646134
14.25865763727682,-3.225147706898728,-0.1653165223402978,-11.07925635583996
14.75280226025837,-3.492742173961195,-0.1750541745971798,-11.44778195521637
15.26407184090652,-3.761978948215974,-0.1851491390083054,-11.82809650085567
15.79305985765142,-4.032340315743027,-0.1962700492216352,-12.2207792025241
16.34038035636946,-4.303607078183788,-0.2078913014284726,-12.6255974661738
16.90666866316373,-4.575138342519591,-0.2201255621459826,-13.04370823228575
17.49258212184668,-4.846293088485362,-0.2333328561289776,-13.47502119149281
18.09880085698029,-5.117586892990385,-0.2470799888255934,-13.92000682792083
18.72602856336048,-5.388540464930327,-0.262023150535318,-14.37886383796208
19.37499332286155,-5.659012003206633,-0.2775256929875243,-14.8519640177785
20.04644844958856,-5.928860594756273,-0.2940685370312707,-15.33927267780467
20.74117336431988,-6.198079460227337,-0.3117422379176038,-15.84163282371133
21.45997449925365,-6.46621107542204,-0.3305562682509554,-16.35933857696963
22.20368623410893,-6.733453350625956,-0.3506408334591,-16.89296912470335
22.97317186466854,-6.99999467408489,-0.3716222097250351,-17.44234190138734
23.76932460488715,-7.265059992719715,-0.393984632763077,-18.00868437384884
24.59306862372807,-7.528859302596871,-0.4180574795228937,-18.5917652729567
25.44536011793296,-7.79161668204345,-0.4434556372249153,-19.19169054036954
26.32718842196867,-8.052869544419256,-0.4700763958240998,-19.80887180438548
27.23957715644014,-8.312645715894956,-0.498261771479601,-20.44441583061495
28.18358541630299,-8.570422610150834,-0.5283306582812796,-21.097617948172
29.16030900025364,-8.826768084968515,-0.5601379584506898,-21.76924339807413
30.17088168272578,-9.081293029320083,-0.5938532518089873,-22.45994393487224
31.21647652996827,-9.333700829567327,-0.6295698803032855,-23.16933291074371
32.29830726173262,-9.584123256218636,-0.6677625933639486,-23.89799466599894
33.41762966015146,-9.832300239255053,-0.7078228072227519,-24.64562390475516
34.5757430274422,-10.07813743241443,-0.7502271895397766,-25.41294270886392
35.77399169412835,-10.32136447317937,-0.7951382238092564,-26.20049864133255
37.01376657953018,-10.56196495436873,-0.8426539510485702,-27.00742901784757
38.29650680633473,-10.79998744896183,-0.8925759964181318,-27.83565056830765
39.62370137111981,-11.03528601033716,-0.945383261166896,-28.68306956741383
40.99689087277221,-11.267380573111,-1.000866967336807,-29.55089149754409
42.41766930080454,-11.49624139682271,-1.059995160725218,-30.44010672260526
43.88768588564793,-11.72180840313024,-1.121815375647872,-31.34881835590335
45.40864701306837,-11.94407856469177,-1.187024222223056,-32.27796373327662
46.98231820492819,-12.16285198849642,-1.25557246319893,-33.22737598156338
48.61052616859214,-12.3777261640382,-1.327909892095927,-34.19664245696654
50.29516091735798,-12.58881812026059,-1.403906700751653,-35.18687672838957
52.03817796437156,-12.79586603600421,-1.483789163500606,-36.19804641663259
53.84160059257349,-12.99863060371472,-1.56730385511066,-37.22712169776926
55.70752220331366,-13.19693647720814,-1.655914061067652,-38.2761141795385
57.63810874635714,-13.39088840084635,-1.74837294097397,-39.34404751441075
59.6356012341055,-13.58007393008793,-1.844258504610546,-40.43103403764739
61.70231834294919,-13.76461895848661,-1.94508648818398,-41.53514344160852
63.84065910477178,-13.94400617594102,-2.050949165066652,-42.65748379796806
66.0531056917314,-14.1181791835783,-2.160985207068542,-43.79666539819062
68.34222629754983,-14.28716349841081,-2.276281666271527,-44.95307530520747
70.71067811865477,-14.45069609906352,-2.396648651824059,-46.12475486701433
73.16121043863711,-14.60861975339579,-2.522337548966102,-47.31324109878857
75.69666781960122,-14.7610198529743,-2.652523040036659,-48.51742958998583
78.31999340411377,-14.90736366832391,-2.78875946572309,-49.73361440893419
81.03423233158563,-15.04781601879496,-2.929870005594264,-50.96470569713931
83.84253527304946,-15.18203496598994,-3.076657097896401,-52.2079164535985
86.74816208843795,-15.31019558917548,-3.229241025133852,-53.46362911581097
89.75448561060908,-15.43175953646156,-3.387498096762791,-54.72852113190105
92.86499556050836,-15.54692865691426,-3.552695511668568,-56.00572854774977
96.0833025980137,-15.65554312852671,-3.7222796555585,-57.29209011080323
99.41314251316751,-15.75759681472412,-3.898128816552958,-58.58757917117396
102.8583805626561,-15.85277893751814,-4.079346530299695,-59.89267401149009
106.423015956576,-15.94089285509708,-4.266394945509015,-61.20393452705063
110.1111865006907,-16.02223402289563,-4.460052812068262,-62.5194516649651
113.9271733995684,-16.09626425515316,-4.659734210171449,-63.84197373171928
117.8754062261777,-16.16300444726421,-4.865088372728,-65.16897286290447
121.9604680637067,-16.22262795440456,-5.07682228270871,-66.50171674222607
126.1871008255758,-16.2749921779502,-5.295346069932465,-67.83592199694762
130.5602107598216,-16.31965375101683,-5.519053629892533,-69.17088330369658
135.0848741442371,-16.35674971867257,-5.750518173181413,-70.50940141753206
139.7663431788816,-16.38627848359814,-5.987048796155221,-71.84400676020479
144.6100520828022,-16.40811089647705,-6.228751250681791,-73.18271064844981
149.6216234020393,-16.42195224317738,-6.47774973695717,-74.52011052287843
154.806874536241,-16.42781021899614,-6.733043184738493,-75.85597723618488
160.1718244914646,-16.42564664432338,-6.99518606578104,-77.18577405667016
165.7227008669996,-16.41536535976063,-7.262922887057279,-78.51531250296588
171.4659470843231,-16.39717675758519,-7.536600446415096,-79.84089584738267
177.4082298665846,-16.37023400556893,-7.817943268494828,-81.16069798084854
183.5564469772936,-16.33471423532051,-8.106306194446105,-82.47079296610421
189.9177352271982,-16.29069584602813,-8.400377787225768,-83.77503236083847
196.4994787586514,-16.2383219643864,-8.699201736943131,-85.07491239485023
203.309317617073,-16.17673021901183,-9.006795905273957,-86.36127489248622
210.3551566194676,-16.1059076100811,-9.319810550079529,-87.63909974494149
217.6451745302843,-16.02619974606467,-9.636846679444504,-88.90682289279447
225.1878335552718,-15.93728540393696,-9.961569526673928,-90.16446743809111
232.9918891643554,-15.83914962463536,-10.2938512497802,-91.40718548450501
241.0664002549287,-15.73151122773714,-10.63275977221246,-92.6352129765118
249.4207396673611,-15.61460240321057,-10.97695055311023,-93.84487538368603
258.0646050649342,-15.48825744788685,-11.32629119678279,-95.04204933112197
267.0080301908248,-15.35261594403969,-11.68182147512656,-96.21890235178086
276.2613965152077,-15.20747661398276,-12.04515184427604,-97.37708569974122
285.8354452860025,-15.05341889409964,-12.41391629371766,-98.51992114417224
295.7412899972434,-14.89069471309782,-12.78874294021262,-99.63730396370303
305.9904292895495,-14.71950595442669,-13.1693633645223,-100.735764513308
316.5947602976761,-14.54021384532577,-13.55508714169092,-101.8071772123119
327.5665924606304,-14.35412580028516,-13.94642419630091,-102.854290057587
338.9186618103866,-14.16139052726028,-14.34417254643001,-103.872397299638
350.6641457557939,-13.96399843516948,-14.74592406076454,-104.8695527602669
362.8166783788245,-13.76255034612879,-15.1536927212527,-105.834381361593
375.3903662609293,-13.55901655764094,-15.56607583504973,-106.771961947769
388.3998048578671,-13.35558331063693,-15.98403835259082,-107.6781314381729
401.8600954420122,-13.15426041728237,-16.40778610268549,-108.5562869548363
415.7868626318185,-12.95814375046247,-16.836170260994,-109.4004878214628
430.1962725287741,-12.77021675973429,-17.26688154177861,-110.2110837185803
445.1050514829046,-12.59443070147026,-17.7020017716863,-110.9845992735821
460.530505508617,-12.43446559315345,-18.1417464865612,-111.7221942113551
476.490540373408,-12.29431402320008,-18.58511198305052,-112.4205149216817
493.0036823827594,-12.17930663671249,-19.03338303635336,-113.0939965139417
510.0890998853606,-12.09302047161353,-19.48406628031352,-113.7297287364944
527.7666255236005,-12.03963167542998,-19.93600366557491,-114.3295328502361
546.0567792551683,-12.02227439040803,-20.39509971684767,-114.8979727289755
564.9807921724935,-12.04370005231862,-20.86011650678137,-115.4210733196549
584.5606311476588,-12.10570069805427,-21.32596728951917,-115.9085124228997
604.8190243313991,-12.20815054112497,-21.78984904176867,-116.3446916700335
625.779487535801,-12.35027071970365,-22.24354514320528,-116.7537005881677
647.4663515312957,-12.53013714345549,-22.70036262342408,-117.1243763721506
669.904790289669,-12.74447428003533,-23.18249827207179,-117.4565599848205
693.1208502058423,-12.98978530942953,-23.66257169450586,-117.7462930651581
717.1414803323543,-13.26214001469846,-24.12344843859157,-117.9939194987964
741.9945636616568,-13.55740688362594,-24.59905657717567,-118.1983559282897
767.7089494925076,-13.87124403344575,-25.07265984484909,-118.3636566591336
794.3144869180462,-14.19950252429582,-25.52162289120798,-118.4590404734512
821.842059474437,-14.53944800959856,-26.00516652290981,-118.5416458827746
850.3236209902749,-14.88758547756457,-26.46938938224175,-118.5912623003055
879.7922326783779,-15.24083292943096,-26.97170680629954,-118.6184005948162
910.2821015130399,-15.597015679128,-27.47938535908354,-118.6238396032506
941.8286199372607,-15.95442757637825,-27.98881598021099,-118.5826081415324
974.4684069460594,-16.31119130734746,-28.49286107923183,-118.5068382165642
1008.23935059358,-16.6663701166089,-28.98315968793812,-118.3687553580252
1043.180651973289,-17.01838225870166,-29.42875571471883,-118.1720418544944
1079.332870722361,-17.36672043298822,-29.91374173879022,-117.9190910342915
1116.737972103037,-17.71096544089927,-30.41195049923603,-117.6975404502627
1155.439375715627,-18.04960016871977,-30.90972389157712,-117.4180551887396
1195.482005899715,-18.38381840487195,-31.42739115574181,-117.0459264215611
1236.912343882033,-18.71222680833202,-31.94731196647144,-116.8079237096735
1279.778481731563,-19.03476355281252,-32.45740391075798,-116.5291483745614
1324.130178184517,-19.35057013116338,-32.94528313663608,-116.1024220358716
1370.018916403948,-19.66095657709325,-33.42207717812688,-115.7360321773095
1417.497963741062,-19.9650763226655,-33.87459986698427,-115.302241371199
1466.622433567638,-20.2624492053314,-34.27537389795145,-114.8133668205539
1517.449349251264,-20.55448553503219,-34.65818988396488,-114.2603407680271
1570.037710347682,-20.83970148780157,-35.03079179169153,-113.7266153018743
1624.448561087113,-21.11844351114499,-35.42579855213137,-113.1494326329091
1680.745061233996,-21.39164178129124,-35.85048673826785,-112.4033443580963
1738.992559402423,-21.65854957756748,-36.26745953706119,-111.9261650373229
1799.258668912412,-21.91912225723161,-36.71866275203561,-111.1725975302329
1861.613346275,-22.17315073776728,-37.18731459676336,-110.3663135163962
1926.128972397299,-22.42092089119109,-37.58846423469801,-109.6626976551961
1992.880436601813,-22.66258550015453,-38.05425291651726,-109.0468634026447
2061.945223557446,-22.8989738441594,-38.45305569115175,-108.3684052158414
2133.40350322324,-23.12871857000974,-38.90993026965584,-107.8925941794488
2207.338223909127,-23.35217465693111,-39.30246083578021,-107.2178978247131
2283.835208561784,-23.56958332948635,-39.75078610682844,-106.6651663967506
2362.98325438738,-23.78049516884854,-40.19182909542231,-105.952853015636
2444.874235926787,-23.98656390329077,-40.60108466013371,-105.4400561770565
2529.603211702938,-24.18590856921687,-41.02163311567621,-105.2793397758952
2617.268534564182,-24.37964601691246,-41.46679940051393,-105.2476153219642
2707.971965851603,-24.56683725629752,-41.94848454751975,-105.0453160184013
2801.818793522952,-24.74978568782501,-42.34835106772999,-105.1802326495726
2898.917954370213,-24.92587374050551,-42.88109101604987,-104.7306603881394
2999.38216047273,-25.09642350237595,-43.37302807861838,-105.5519662464069
3103.328030032677,-25.26228605176441,-43.93400981768132,-105.3576214577407
3210.876222744694,-25.42147063995617,-44.48178523429908,-105.9674217394631
3322.151579856891,-25.57633469844616,-45.11245907899345,-106.9059968610451
3437.283269085762,-25.72528820868251,-45.78046848020959,-107.4977184958862
3556.404934553248,-25.869910399925,-46.51043341496391,-108.6915876144615
3679.65485191995,-26.0085044896143,-47.3096199411112,-109.7027433192431
3807.176088894636,-26.14192757939806,-48.25699843488181,-110.625065865259
3939.116671306321,-26.27144727422721,-49.26756397903857,-111.9943352804806
4075.629754931679,-26.39709567564939,-50.36893462371425,-114.7898600348449
4216.873803277284,-26.51636756238323,-52.19352066928636,-116.4356546042153
4363.012771523042,-26.63291088439435,-53.89081062913618,-118.9443213997276
4514.216296840283,-26.74497491789319,-55.9167504128816,-121.6300081149962
4670.659895305505,-26.85168623380875,-58.74066818566823,-128.6773907931868
4832.525165638303,-26.95486056944095,-61.87835309000171,-129.5016805330228
5000.000000000001,-27.05801209849571,-66.32873030907044,-27.23143236784136
5173.278802097637,-27.15053023997518,-66.19560507190342,84.01191777015693
5352.562712846547,-27.24201032839841,-62.4308169791977,92.94716859193295
5538.059843853453,-27.33351864753335,-58.53418227218222,79.59705366608813
5729.985518991042,-27.4232679890113,-55.79244679494735,70.44195718662448
5928.562524344557,-27.4987211655962,-54.14852452982107,70.80679058974697
6134.021366820424,-27.57787267407269,-52.50323595602208,66.62429962569294
6346.600541717215,-27.65300134437303,-51.1852420371244,64.43341253142329
6566.546809569409,-27.72679272279152,-50.24577719828081,61.24108852792774
6794.115482585451,-27.7958222689236,-49.14388579655191,60.68944154840104
7029.570721012533,-27.86241740487789,-48.42604367554169,57.61447632403135
7273.185839772068,-27.92693966697317,-47.74577839596327,57.14541395050294
7525.243625721901,-27.98852052570014,-46.98897150206478,56.05104260362622
7786.036665913494,-28.05400364542825,-46.76877102266942,54.92998912226362
8055.867687225046,-28.12019775311587,-46.13058010967488,54.50851618592299
8335.049907764931,-28.16286642208006,-45.77285200727999,53.67297453425115
8623.907400453227,-28.20934971935528,-45.38592030968196,51.74726196912726
8922.775469203521,-28.2590329624032,-44.98280459631607,51.11896093246713
9232.001038141474,-28.30952472130816,-44.60195548151323,51.51124626439113
9551.943054312125,-28.3589946192462,-44.42470326305819,51.29418151902209
9882.972904343333,-28.39559359815365,-44.08802852240679,50.36179635484531
10225.47484554894,-28.4376500542643,-43.88605979788484,50.37902776696799
10579.84645197217,-28.48917511915491,-43.75557193514471,50.89098681912641
10946.49907588711,-28.51688283632942,-43.42214054846208,50.39033242307332
11325.85832529363,-28.55243627049438,-43.27180992865563,51.46448569058547
11718.36455796051,-28.58821586313709,-43.09406315113183,52.4100662990767
12124.47339258986,-28.62144670653682,-43.03255852013432,52.00963949052913
12544.65623769639,-28.6620451748291,-42.8076655251317,53.04446489939183
12979.40083881532,-28.68502814860377,-42.51586368295961,53.78128793573962
13429.21184467431,-28.73058248878877,-42.46131065142168,54.49265605755272
13894.61139298642,-28.74323911376652,-42.29952829268964,56.026416009663
14376.13971654419,-28.7834888190733,-41.97536934790292,57.33138652565606
14874.35577031837,-28.79599465921348,-41.80539421198486,59.07512541717938
15389.83788028932,-28.82563895723711,-41.57431664196196,59.30654848212473
15923.18441476399,-28.84593995122201,-41.28647593950503,60.65216814347374
