  Frequency            , V(MID)               , V(IN)                , V(OUT)               
  1.000000000000e-02  ,1.291145087880e-07  ,1.000000000000e-01  ,2.858824714152e-02  
  1.002305238078e-02  ,1.294121463837e-07  ,1.000000000000e-01  ,2.865414931662e-02  
  1.004615790278e-02  ,1.297104700965e-07  ,1.000000000000e-01  ,2.872020340818e-02  
  1.006931668852e-02  ,1.300094814982e-07  ,1.000000000000e-01  ,2.878640976638e-02  
  1.009252886077e-02  ,1.303091821778e-07  ,1.000000000000e-01  ,2.885276874219e-02  
  1.011579454260e-02  ,1.306095737278e-07  ,1.000000000000e-01  ,2.891928068741e-02  
  1.013911385737e-02  ,1.309106577235e-07  ,1.000000000000e-01  ,2.898594595464e-02  
  1.016248692871e-02  ,1.312124357852e-07  ,1.000000000000e-01  ,2.905276489731e-02  
  1.018591388054e-02  ,1.315149095019e-07  ,1.000000000000e-01  ,2.911973786964e-02  
  1.020939483708e-02  ,1.318180804731e-07  ,1.000000000000e-01  ,2.918686522669e-02  
  1.023292992281e-02  ,1.321219503053e-07  ,1.000000000000e-01  ,2.925414732431e-02  
  1.025651926251e-02  ,1.324265206291e-07  ,1.000000000000e-01  ,2.932158451920e-02  
  1.028016298126e-02  ,1.327317930372e-07  ,1.000000000000e-01  ,2.938917716886e-02  
  1.030386120442e-02  ,1.330377691532e-07  ,1.000000000000e-01  ,2.945692563162e-02  
  1.032761405761e-02  ,1.333444506009e-07  ,1.000000000000e-01  ,2.952483026665e-02  
  1.035142166679e-02  ,1.336518390077e-07  ,1.000000000000e-01  ,2.959289143393e-02  
  1.037528415818e-02  ,1.339599360042e-07  ,1.000000000000e-01  ,2.966110949427e-02  
  1.039920165829e-02  ,1.342687432245e-07  ,1.000000000000e-01  ,2.972948480933e-02  
  1.042317429393e-02  ,1.345782623030e-07  ,1.000000000000e-01  ,2.979801774158e-02  
  1.044720219221e-02  ,1.348884948702e-07  ,1.000000000000e-01  ,2.986670865434e-02  
  1.047128548051e-02  ,1.351994425847e-07  ,1.000000000000e-01  ,2.993555791176e-02  
  1.049542428652e-02  ,1.355111070980e-07  ,1.000000000000e-01  ,3.000456587883e-02  
  1.051961873823e-02  ,1.358234900408e-07  ,1.000000000000e-01  ,3.007373292140e-02  
  1.054386896391e-02  ,1.361365931132e-07  ,1.000000000000e-01  ,3.014305940613e-02  
  1.056817509214e-02  ,1.364504179147e-07  ,1.000000000000e-01  ,3.021254570056e-02  
  1.059253725177e-02  ,1.367649661489e-07  ,1.000000000000e-01  ,3.028219217304e-02  
  1.061695557199e-02  ,1.370802394812e-07  ,1.000000000000e-01  ,3.035199919279e-02  
  1.064143018224e-02  ,1.373962395805e-07  ,1.000000000000e-01  ,3.042196712989e-02  
  1.066596121230e-02  ,1.377129681053e-07  ,1.000000000000e-01  ,3.049209635526e-02  
  1.069054879223e-02  ,1.380304267522e-07  ,1.000000000000e-01  ,3.056238724067e-02  
  1.071519305238e-02  ,1.383486171935e-07  ,1.000000000000e-01  ,3.063284015876e-02  
  1.073989412341e-02  ,1.386675411259e-07  ,1.000000000000e-01  ,3.070345548302e-02  
  1.076465213630e-02  ,1.389872002426e-07  ,1.000000000000e-01  ,3.077423358780e-02  
  1.078946722230e-02  ,1.393075962402e-07  ,1.000000000000e-01  ,3.084517484831e-02  
  1.081433951298e-02  ,1.396287307841e-07  ,1.000000000000e-01  ,3.091627964065e-02  
  1.083926914021e-02  ,1.399506056230e-07  ,1.000000000000e-01  ,3.098754834176e-02  
  1.086425623617e-02  ,1.402732224328e-07  ,1.000000000000e-01  ,3.105898132944e-02  
  1.088930093333e-02  ,1.405965829239e-07  ,1.000000000000e-01  ,3.113057898240e-02  
  1.091440336449e-02  ,1.409206888243e-07  ,1.000000000000e-01  ,3.120234168019e-02  
  1.093956366272e-02  ,1.412455418617e-07  ,1.000000000000e-01  ,3.127426980324e-02  
  1.096478196143e-02  ,1.415711437260e-07  ,1.000000000000e-01  ,3.134636373286e-02  
  1.099005839433e-02  ,1.418974961728e-07  ,1.000000000000e-01  ,3.141862385125e-02  
