#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B213B5
#Date Time: 2024-02-05 22:00:20.578
#Start: 1 Hz
#Stop: 2e+07 Hz
#Steps: 501
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.51697 V
#Offset: -0.000289588 V
#Relative: no
#Channel: Channel 2
#Range: 5.57616 V
#Offset: -0.000284749 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1.000000000000002,0.003486428851430237,0.3782310354659405,-1.983204391256621
1.034194109919989,0.004728168003454582,0.4021775958230746,-2.069222820655483
1.069557456993193,0.003131527240805537,0.4306438535720705,-2.178948188007354
1.10613002224336,0.003326329564927894,0.4612929066644362,-2.29731927257572
1.143953153809745,0.001165985240625893,0.4966593217909639,-2.431700022881074
1.183069613694431,0.00183529126297939,0.5303410997229301,-2.582555210503379
1.223523626108092,0.0006378441052899269,0.5673555087224329,-2.733075832157887
1.265360927468933,0.0009725589622558207,0.6038823545192354,-2.896665753213574
1.308628818111262,-0.0003884575885137954,0.6427924016757194,-3.070199797194909
1.353376215762218,-0.001215400777265373,0.6829116421360382,-3.251333292813396
1.399653710847087,-0.001868945391096365,0.7241069652007949,-3.435741827722911
1.447513623685706,-0.002246635233383396,0.7655312550777287,-3.628519529949422
1.497010063644694,-0.003777473726867685,0.806412844464563,-3.837848161795435
1.548198990312284,-0.004817754736894111,0.848035236504179,-4.048661400132161
1.601138276765035,-0.005555691815613467,0.8907897535316051,-4.266208213985408
1.655887774997836,-0.004988902271900986,0.9314878800429982,-4.503005871413151
1.712509383591271,-0.007443920619830012,0.9742246232909979,-4.742045652189944
1.7710671176928,-0.008938908807176288,1.017604785868244,-4.995345026389927
1.831627181390858,-0.009113147496629694,1.059073380787811,-5.270542896595515
1.894258042563772,-0.0102048445868471,1.101829497626398,-5.556819159401613
1.959030510288013,-0.01223889315703264,1.145588661887867,-5.850481903282343
2.026017814893409,-0.01383915458811217,1.189490721641344,-6.160819741131888
2.095295690755726,-0.0156661871448425,1.234337709623478,-6.496351473115254
2.166942461920297,-0.0177868918243626,1.278306425475333,-6.836950413314071
2.241039130653486,-0.01936994243736597,1.322047765759621,-7.198213221384435
2.317669469022039,-0.02067512723749905,1.36712021347311,-7.585490039716191
2.396920113603975,-0.02354551873302876,1.413265451417898,-7.990341312924045
2.478880663437972,-0.02561836952067715,1.4585673088259,-8.412058287100514
2.563643781322099,-0.02870217413812383,1.504247134627539,-8.856891241452711
2.651305298576318,-0.03079403525575335,1.548905629819407,-9.328463619819132
2.741964323387274,-0.03452050894295559,1.595294579459318,-9.817134815308224
2.835723352857861,-0.03702834650029259,1.639691880649991,-10.33363725509852
2.932688388888149,-0.0416923588496363,1.685493951848379,-10.87003541413469
3.03296905801886,-0.04485775386171547,1.730594685185132,-11.43559662031275
3.13667873537267,-0.04879803815832667,1.774427681174301,-12.02122855165013
3.243934672833687,-0.05360729658960596,1.818431513046127,-12.6445531133144
3.354858131609812,-0.05854840633273472,1.861567547120888,-13.28489230191667
3.469574519328032,-0.06357458478460731,1.905773314665944,-13.95614670571607
3.58821353181752,-0.06858965097864626,1.947278748803684,-14.65118423076264
3.710909299740865,-0.07441800075624143,1.990087158611113,-15.38658250883384
3.837800540239305,-0.08055225307493211,2.029935211254381,-16.14143487818207
3.969030713763232,-0.08774873081760877,2.071604469792542,-16.92694514441528
4.104748186265447,-0.0947583125674358,2.111054110354567,-17.74079910760092
4.245106396940474,-0.1013640304299772,2.14967447376109,-18.58991957154839
4.390264031699487,-0.1105514650232021,2.189402930191494,-19.46940188782556
4.540385202577183,-0.1194244819254114,2.226150266163718,-20.39011205026844
4.69563963327318,-0.1290093496841638,2.263022573532249,-21.33899292584223
4.856202851037969,-0.1374392830700857,2.297964073773238,-22.33155821329697
5.022256385120114,-0.1475511258661174,2.332329600291238,-23.3524600325872
5.193987971999255,-0.1593000217263333,2.366559283281152,-24.41791341886471
5.371591767636888,-0.1711452006493645,2.399478435369706,-25.51487603511823
5.555268566984748,-0.1835388340373115,2.430689075506783,-26.65994669086241
5.745226030999271,-0.1966917988698915,2.461219420464405,-27.8434332519393
5.941678921418418,-0.2111276909206819,2.490451335563646,-29.0736009267939
6.144849343566667,-0.2261353503828584,2.518022834315184,-30.35763164938206
6.354966997462344,-0.2413735046276926,2.543512604693712,-31.68241099732742
6.572269437511447,-0.2596848505902195,2.568649012254122,-33.07402736981234
6.797002341081482,-0.2772554579132931,2.590621663031029,-34.51372729792752
7.029419786258816,-0.2964424944258113,2.610120678884,-36.01318639246166
7.26978453910388,-0.3173249978316949,2.627779421874977,-37.58514023338221
7.518368350728602,-0.3384994459724181,2.64241884676328,-39.224756124427
7.775452264532366,-0.3614351228091655,2.652202490097673,-40.94069500849226
8.041326933943395,-0.3847331906922674,2.65844411332574,-42.7384870578619
8.31629295102519,-0.4097512834418533,2.658375921547055,-44.61865362857297
8.600661186319355,-0.4342028882393583,2.65092181396139,-46.59732918640515
8.894753140308906,-0.4604842778664795,2.637377916609783,-48.69233034777902
9.198901306899776,-0.4885903134511402,2.615762316766949,-50.89396940175437
9.513449549330996,-0.515331691259787,2.584034526132298,-53.21517378180729
9.838753488939069,-0.5423174499478542,2.539976899602962,-55.67846284365322
10.17518090721551,-0.5693031669785833,2.483764473220527,-58.2837119696747
10.52311216161256,-0.5968463299298888,2.411542144494995,-61.07060929328786
10.88294061556709,-0.6232948163825252,2.323327707852518,-64.03476604788034
11.25507308322846,-0.6459072213585428,2.209202620030789,-67.19430438030203
11.63993028939385,-0.6656926421789118,2.064944298083286,-70.58618705554434
12.03794734517035,-0.6797223153751599,1.884365583327174,-74.24129136539105
12.44957423990212,-0.6873819428205177,1.668715942539685,-78.16668272138845
12.87527634991836,-0.6860589127986978,1.398282541177949,-82.44053576374029
13.31553496467765,-0.6760621940910989,1.058032444065065,-87.10208028324803
13.77084783090326,-0.6531996922385429,0.6317056908593822,-92.28493725304105
14.24172971532455,-0.6168004625605688,0.09311419616170985,-98.18161793768988
14.7287129866611,-0.5586922301025747,-0.6366604504406845,-105.0626657008445
15.2323482175069,-0.4684506607741163,-1.695993204229702,-113.6680580768158
15.75320480679584,-0.3132335574658557,-3.763998171371539,-127.402545999748
16.29187162355148,-0.03817529992275634,-18.77193755634494,-159.7888861108746
16.84895767264948,-0.03969733186297022,-19.40022632699007,-160.0242088649707
17.42509278334526,-0.03960285178535902,-20.21607222147692,-160.1793372168781
18.02092832134486,-0.04025781898009683,-20.98985253460187,-160.4240252428266
18.63713792522513,-0.04180730681388715,-21.68624138581736,-160.6469806372822
19.27441826803423,-0.0434991283031716,-22.38241152692102,-160.8410523393568
19.93348984493516,-0.04516338629266525,-23.04576096324315,-161.1141236160872
20.61509778778181,-0.04602744322511435,-23.68293001966479,-161.2641933434168
21.32001270754845,-0.04853335951890167,-24.27675240494732,-161.480687846297
22.04903156556588,-0.04987834622816686,-24.87596988368231,-161.5885032407262
22.80297857454805,-0.05304037520068966,-25.45800225146163,-161.7693403979687
23.58270613042925,-0.0556650528686747,-26.04726088647422,-161.8955424159547
24.38909577606389,-0.05814523086441771,-26.60375089947415,-162.0569985216781
25.22305919787965,-0.06197126942656269,-27.17813349527333,-162.1562063933297
26.08553925661029,-0.06405127736647048,-27.74868774081305,-162.2073387631638
26.97751105327289,-0.06736932752678418,-28.30846930147279,-162.3454167716255
27.89998303159616,-0.07238430116717755,-28.87189176709669,-162.510937565432
28.85399811814426,-0.0766296453984005,-29.40563774957006,-162.4498573677513
29.84063490142719,-0.08052070850676468,-29.98786302967401,-162.5732613525199
30.86100885132878,-0.08580500094940491,-30.54647199260001,-162.6241407410164
31.91627358023273,-0.08970628259324356,-31.08372737006537,-162.5757958801123
33.00762214727158,-0.09642214961722335,-31.60758370743152,-162.7945854570067
34.13628840717271,-0.1011202662790134,-32.21350627708255,-162.7316590891477
35.30354840522794,-0.1071631929480724,-32.72070700350249,-162.6352692730806
36.5107218199618,-0.1147219007690718,-33.29233437914363,-162.8627192673095
37.75917345513163,-0.1227067763884643,-33.8352434482596,-162.7048505641399
39.05031478274425,-0.1309890947685384,-34.39036489712359,-162.4332738812273
40.38560553883541,-0.1392414303040362,-34.9764655780339,-162.6176865715105
41.76655537381557,-0.14831198672629,-35.42386142630204,-162.473129226738
43.19472555924695,-0.1579900681400213,-36.00552616606674,-162.6490678355565
44.67173075298349,-0.1685391101098535,-36.56444991807972,-162.4548386475248
46.19924082466698,-0.1809777207508561,-37.02338837220716,-162.0787894326026
47.77898274364558,-0.1931444070148498,-37.67774684166521,-162.3650197157387
49.41274253144694,-0.2087082005907142,-38.18539069663073,-162.4264822706084
51.10236728101514,-0.2226225272383794,-38.76403162476343,-161.9772470079177
52.84976724499371,-0.2403822414018924,-39.23791625760698,-161.7887350303638
54.65691799541463,-0.2570972121402637,-39.72618398192952,-161.9711947953855
56.52586265723754,-0.2766282163937448,-40.38729376625441,-161.6064484533244
58.45871421826108,-0.297100081293871,-40.8409243860881,-161.6836032029506
60.45765791802138,-0.319568047961839,-41.28225538999332,-160.6289578071013
62.52495371837517,-0.3426797007461974,-41.98846530403106,-160.7097988332832
64.66293885856324,-0.3660145663043332,-42.52564673996334,-160.8030366325353
66.87403049764232,-0.3936454113555671,-43.0571436611728,-160.6580308768019
69.16072844727111,-0.420469425117985,-43.58739058622667,-160.3874632212946
71.52561799794347,-0.450451331815216,-44.14334511682749,-160.1480094196319
73.97137284185997,-0.4840007901355333,-44.8291538957949,-159.4980024659189
76.50075809574685,-0.5183145283199032,-45.1433049914595,-158.869983697355
79.11663342703514,-0.5616437516375823,-45.79769014415423,-159.1836346254861
81.8219562869383,-0.6211999146722865,-46.2655186356323,-159.4263159194244
84.61978525408223,-0.6925851337818318,-47.20723446270206,-160.3732453732907
87.51328349246582,-0.7772056966962503,-47.93450377769706,-159.6506867331674
90.50572232766615,-0.8735329310436825,-48.41125140010809,-159.8720907483447
93.60048494532599,-0.9821694207880891,-48.68544468713115,-158.9623268594798
96.80107021611053,-1.101069961000521,-49.50323063016957,-157.8138934499126
100.1110966514526,-1.231721581091369,-50.62345292007854,-156.3711862343283
103.5343064945625,-1.372377420849228,-51.77912564254679,-158.0621420268904
107.0745699513272,-1.521269355807991,-51.23601026708168,-156.472070333675
110.735889565878,-1.680838074902255,-52.37061057611094,-155.3088715032611
114.5224047457811,-1.85598637754522,-52.95837847314353,-156.1346352929183
118.4383964419593,-2.046695158557146,-53.03081667659801,-154.8010106613533
122.4882919886427,-2.245759180782563,-53.44843385865546,-148.0301594150143
126.6766701088137,-2.456257616425068,-54.04361031978745,-148.6110030012657
131.0082660908121,-2.674660877359162,-54.17082246101316,-148.2404849668665
135.4879771419482,-2.900681568019426,-55.37702112073625,-149.69327595525
140.1208679251764,-3.131695032174451,-58.09171590694732,-154.2705329101408
