#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B213B5
#Date Time: 2024-02-05 23:14:43.911
#Start: 1 Hz
#Stop: 2e+07 Hz
#Steps: 501
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.51697 V
#Offset: -0.000289588 V
#Relative: no
#Channel: Channel 2
#Range: 5.57616 V
#Offset: -0.000284749 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1.000000000000002,0.00045048039207635,0.1767213391376166,-0.884691555316607
1.034194109919989,0.0009923233010013597,0.1884631452237328,-0.911487399799114
1.069557456993193,0.001423284580578729,0.2015147880773709,-0.9426233676915672
1.10613002224336,0.0007887684798078658,0.2155619094421038,-0.9888932125315364
1.143953153809745,0.0002686004252125956,0.231388418854663,-1.033362523730382
1.183069613694431,-0.001176999892954253,0.2477974087441205,-1.06974217174114
1.223523626108092,-0.0008141683070349591,0.265398880629124,-1.123803918757741
1.265360927468933,-0.0007343496490490322,0.284989676696189,-1.171039491361149
1.308628818111262,-0.0004663927588959704,0.3062310203039808,-1.227605485256896
1.353376215762218,-0.0001445161640789446,0.3295393615938447,-1.286778262626784
1.399653710847087,-0.0012749002535634,0.3526906119587075,-1.345148215782828
1.447513623685706,-0.001345719328800945,0.3790751557440943,-1.41065377131514
1.497010063644694,-0.00169254089960303,0.4083045248348485,-1.491101656532209
1.548198990312284,-0.002380956379668047,0.4402925710489741,-1.56581338941897
1.601138276765035,-0.002660964584783725,0.4728714334987938,-1.65701572607621
1.655887774997836,-0.003108153375886544,0.5094546018511323,-1.750605919611715
1.712509383591271,-0.003024853073045077,0.548834214007866,-1.848973348864519
1.7710671176928,-0.002975771229980623,0.590917355736205,-1.962535237554704
1.831627181390858,-0.004162058380857399,0.6365805356731509,-2.079691123517989
1.894258042563772,-0.004964438338087981,0.6865763619515558,-2.215741991798637
1.959030510288013,-0.004113584680036563,0.7383035127852768,-2.36826059706209
2.026017814893409,-0.006437181726735876,0.7964575183278362,-2.541663625078826
2.095295690755726,-0.005928787743788647,0.85755165011284,-2.742559163895862
2.166942461920297,-0.007074953571150721,0.9238083344360405,-2.985702797359096
2.241039130653486,-0.008976597927186809,0.9918516171231526,-3.252209901706209
2.317669469022039,-0.01043484061706522,1.062288591165078,-3.570036001419794
2.396920113603975,-0.01143812583023611,1.1314510528794,-3.901898530442622
2.478880663437972,-0.01092616791260555,1.196017442252306,-4.260939777695782
2.563643781322099,-0.01177330928776057,1.258973764393138,-4.632622299449345
2.651305298576318,-0.01476395437232972,1.317624458225463,-5.005781952479403
2.741964323387274,-0.01715822310432021,1.373933462884709,-5.39417692267539
2.835723352857861,-0.01790405683585726,1.426918128452027,-5.787701699346141
2.932688388888149,-0.02137901439148743,1.479194320268066,-6.186318248327819
3.03296905801886,-0.02223322107909189,1.531080099405243,-6.617514086114731
3.13667873537267,-0.02381634612685907,1.583290538549042,-7.049460790003792
3.243934672833687,-0.02536491854217689,1.635481278151913,-7.514046624120581
3.354858131609812,-0.02864882673673064,1.688752622851023,-7.986182888255655
3.469574519328032,-0.03137805861140716,1.745091200254979,-8.4759409232596
3.58821353181752,-0.03495395069276098,1.803226040062281,-8.967788739045176
3.710909299740865,-0.03789920610946237,1.863456494281839,-9.468064759811654
3.837800540239305,-0.03987302916182919,1.925117764544424,-9.969383294191005
3.969030713763232,-0.04367774576479862,1.991058594297146,-10.47634861822318
4.104748186265447,-0.04734727340691415,2.059553974670999,-10.98762982571869
4.245106396940474,-0.05272906081160821,2.130507522279195,-11.52516714770099
4.390264031699487,-0.05573033769669871,2.20190351835833,-12.07896596046782
4.540385202577183,-0.06025438721117161,2.275428235940142,-12.66849854063935
4.69563963327318,-0.06614154973524733,2.352057186295076,-13.27233626577181
4.856202851037969,-0.07243462321734286,2.428550259216039,-13.91018553118286
5.022256385120114,-0.0786752607497264,2.506357850893357,-14.58759755954961
5.193987971999255,-0.08556009773563578,2.584765575535737,-15.29581590591336
5.371591767636888,-0.09237804680548131,2.663226324639064,-16.03780892340943
5.555268566984748,-0.09805111797874043,2.740283038559143,-16.81049519870944
5.745226030999271,-0.1086712090558121,2.818795998514353,-17.6301779863007
5.941678921418418,-0.1199420610709337,2.89810210248075,-18.4869183883916
6.144849343566667,-0.1274689699560466,2.975430741304057,-19.37715854349577
6.354966997462344,-0.1390752212115044,3.054248722031289,-20.32363430865743
6.572269437511447,-0.150141968930797,3.13015314875336,-21.31553001666543
6.797002341081482,-0.1630476946443629,3.208263704606618,-22.34329736518373
7.029419786258816,-0.1753464864203401,3.284643660254852,-23.41872557574641
7.26978453910388,-0.1914556053887283,3.361582122378996,-24.53854818588907
7.518368350728602,-0.2076577571293726,3.436687557512197,-25.72733959693408
7.775452264532366,-0.2255772841643743,3.512319667742874,-26.95799264894927
8.041326933943395,-0.2432738308659525,3.585410393985531,-28.26446504480973
8.31629295102519,-0.2633343069833277,3.658479851104958,-29.6066744125508
8.600661186319355,-0.2854788125288693,3.730638302342027,-31.0366590027036
8.894753140308906,-0.3089935051361087,3.800636772653312,-32.51782912576607
9.198901306899776,-0.3338200128135182,3.868921828870286,-34.08135527457947
9.513449549330996,-0.359246310985391,3.935543810740565,-35.72127212179782
9.838753488939069,-0.3881945011001615,4.0003733866019,-37.45581463134471
10.17518090721551,-0.4196980352150437,4.061161948615004,-39.28732849454335
10.52311216161256,-0.4507623231549893,4.119050435173168,-41.20658258938411
10.88294061556709,-0.4855112398009265,4.172756082132427,-43.23240140197653
11.25507308322846,-0.5194241988201664,4.21941489439709,-45.39524392331145
11.63993028939385,-0.5599290032070843,4.263151049786549,-47.67653900397961
12.03794734517035,-0.5984233205228721,4.298399782865379,-50.10652190755136
12.44957423990212,-0.6408016384304428,4.325173694300895,-52.71560512159917
12.87527634991836,-0.6801535938866103,4.338317831408206,-55.48354409441986
13.31553496467765,-0.722998213644574,4.340942700264873,-58.45618852095804
13.77084783090326,-0.7638061034894701,4.324763376713707,-61.66959194983544
14.24172971532455,-0.8029951135110746,4.289030407741118,-65.11531008237225
14.7287129866611,-0.8414531165110141,4.229477633107145,-68.88336601476972
15.2323482175069,-0.8736116990615322,4.137353321381505,-72.97990671319812
15.75320480679584,-0.8985201577504108,4.002643737239765,-77.4811423328789
16.29187162355148,-0.9132511114901382,3.81496854820571,-82.47353494485135
16.84895767264948,-0.9141611809195843,3.554448712987504,-88.09438137096936
17.42509278334526,-0.8957342851167921,3.184437430332006,-94.54788444370331
18.02092832134486,-0.84360299145642,2.643071476218595,-102.2743229483786
18.63713792522513,-0.7405320151939826,1.764230231247947,-112.4438456695383
19.27441826803423,-0.4287611056328131,-0.9501244466806738,-136.4691978451211
19.93348984493516,-0.09756410979984032,-17.03513742736665,-165.8832058225923
20.61509778778181,-0.1005703661924231,-17.73206312840701,-166.3425250474148
