#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B213B5
#Date Time: 2024-02-15 03:15:16.159
#Start: 500 Hz
#Stop: 2e+07 Hz
#Steps: 501
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.51697 V
#Offset: -0.000289588 V
#Relative: no
#Channel: Channel 2
#Range: 5.57616 V
#Offset: -0.000284749 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
500.0000000000009,-13.79396359667031,-60.34893644672023,-120.3444986037667
510.7097208762208,-13.9307171863576,-60.55422994171455,-119.063969609366
521.6488379949326,-14.04351612724061,-60.64026781356566,-118.0786295306688
532.822264895593,-14.15230708072442,-61.25260847161881,-116.6208845927037
544.2350203629271,-14.25837968825464,-61.19346365660525,-121.5552966091363
555.8922306812275,-14.35967570508399,-61.17336900989014,-117.5383869746811
567.7991319369378,-14.45829776214725,-61.61746418798351,-118.6022640452922
579.9610723705468,-14.55934359352721,-61.22434948513676,-117.1372286271843
592.383514778869,-14.65825395500144,-60.9983318496033,-116.0227689662615
605.0720389687805,-14.7570887289448,-60.94024668581839,-113.1004251285367
618.0323442635009,-14.85385612823392,-60.66411853697111,-114.0761425745076
631.2702520625768,-14.95433149721481,-60.65345160580262,-116.1565123404178
644.791708456679,-15.05169331583689,-60.57729659585878,-111.157980073272
658.6027868984215,-15.15173101100735,-59.82935556339842,-114.5852434913591
672.7096909303867,-15.25088241492343,-60.18346305057572,-115.6291032692691
687.1187569715719,-15.35083373461425,-60.35182392617449,-117.391705267739
701.8364571635318,-15.4507557201072,-59.58667516526138,-113.7170831432873
716.8694022774847,-15.54999282391941,-59.56363757495718,-109.3084468797095
732.2243446836735,-15.65076626905144,-59.2961072581469,-113.8304070302469
747.9081813843421,-15.75253598982113,-59.74143721279319,-112.7307985317131
763.9279571116773,-15.85296165532094,-60.12605447196641,-113.1362984948637
780.290867492091,-15.95302211330767,-59.59773712131543,-109.9484126965831
797.004262278297,-16.05518750745018,-59.78407595780918,-108.8204747320084
814.0756486506131,-16.16124407558446,-60.25979118083232,-107.9018548198735
831.5126945889645,-16.26431322891395,-60.02054656131591,-108.6657692062965
849.3232323171252,-16.36962858354888,-59.48927235989122,-108.3699882335675
867.5152618207356,-16.47566860754583,-59.11169156230603,-107.6585756171182
886.0969544406555,-16.58048372076023,-59.34097401266271,-106.8115252165633
905.0766565433113,-16.68443189063443,-58.75390340824698,-107.3638248871051
924.4628932696336,-16.78908831933467,-59.10384662073686,-108.6086431878734
944.2643723643124,-16.89406210260298,-58.65689259329817,-104.0614208328188
964.4899880870739,-17.00013911184882,-58.67441180246885,-104.4481713238955
985.1488252077163,-17.1048618931095,-58.47577342517181,-108.1771433137784
1006.250163086735,-17.21119234527306,-57.45208700649685,-105.4492344466197
1027.803479843355,-17.31796743376792,-57.48525483268998,-110.0168887314454
1049.818456612814,-17.42245471387008,-57.30281978293991,-105.2500469743538
1072.304981894866,-17.52818147760509,-57.38708870116989,-104.9962956669424
1095.273155995412,-17.63376534039997,-56.41327451855631,-106.3242272648039
1118.733295563266,-17.73799467009003,-57.19170633418648,-105.8160145457581
1142.695938224099,-17.84223081633611,-56.88633087376861,-101.5225188626221
1167.171847313637,-17.94773109116879,-56.25307613952159,-105.0688199456994
1192.172016712258,-18.05241361160911,-55.7826935460851,-102.5840081710343
1217.707675783115,-18.15621976302845,-55.9686565450458,-105.7569129356258
1243.790294416048,-18.25925789051804,-55.6662325102367,-104.0226764847049
1270.431588179542,-18.36343378619935,-55.55459624656181,-107.0563552414769
1297.643523583014,-18.46518363124157,-54.95250893631968,-104.9376881594722
1325.438323451828,-18.56549110747608,-54.73362645025006,-106.8781533802602
1353.828472417455,-18.66666148992038,-54.66258732145058,-104.5366978068944
1382.826722525193,-18.76620843417764,-55.11698646224669,-102.5237165365675
1412.446098962038,-18.86545596982843,-54.97915687183361,-104.7450815389011
1442.699905907216,-18.96377048507023,-54.67786635097988,-102.4638808119988
1473.601732508043,-19.0624989327269,-54.7067099462395,-107.8666777497162
1505.165458983793,-19.15981106685375,-54.67608969037438,-108.3922643231206
1537.405262860281,-19.25628875830844,-54.24948624779808,-108.1463564040271
1570.335625338007,-19.35183586938185,-54.15981665055882,-105.4680606154605
1603.971337796716,-19.44663990983203,-54.30032833374633,-108.4108694529069
1638.327508439235,-19.54187979241657,-53.37101226505201,-110.6474432250666
1673.419569077666,-19.6340904268841,-53.4660923349722,-106.4539423909876
1709.263282064918,-19.7264479946014,-53.10123591583586,-109.941247349572
1745.874747374691,-19.81813167396351,-53.09609585905471,-112.4375887832079
1783.270409833135,-19.90835171631861,-52.80477885944801,-114.5054817672685
1821.467066505405,-19.99667158103661,-52.47051406023877,-114.0760317526092
1860.481874240405,-20.08495369223143,-52.17406670922195,-115.5002473966761
1900.332357377163,-20.17105618672465,-52.28449384059618,-115.6239355481684
1941.03641561628,-20.25836240980096,-51.36177749791259,-117.9369826633898
1982.612332059933,-20.34300070706567,-51.4200605241689,-120.2635920334601
2025.078781424159,-20.42480634106423,-51.34371490213061,-118.5638087768058
2068.454838426975,-20.50710476943972,-50.86430882735524,-122.605819665577
2112.759986356212,-20.58769946751544,-51.06962775227813,-123.4032615227779
2158.014125820852,-20.66827351963806,-50.073234874703,-122.8910007494
2204.237583689811,-20.74688366234494,-50.25664246734746,-126.665107044899
2251.451122222194,-20.82409791666496,-50.47299729089781,-124.9248683993321
2299.675948393094,-20.90079966535706,-50.29545604509746,-131.501730133924
2348.933723419184,-20.97451309547841,-50.05534931541331,-129.5121108077713
2399.246572488303,-21.05006372840732,-49.37076288749323,-131.1934569636659
2450.637094697454,-21.1216834928726,-49.61650316141753,-133.8097257975829
2503.128373203692,-21.1921291288293,-49.46028585816322,-134.5226921804093
2556.743985592407,-21.26167373091637,-49.38071287364562,-134.8549190644166
2611.508014467701,-21.33112968174394,-49.12502922921809,-136.3638346381256
2667.445058269619,-21.39911147674744,-48.84963706034224,-142.4741865478099
2724.580242323056,-21.46682334189329,-48.51732287330893,-144.0845197797056
2782.939230123342,-21.53092874079461,-48.32578152438172,-142.2120403448086
2842.548234863546,-21.59504238148552,-48.27844030751262,-144.9367395957583
2903.434031208703,-21.65956565248852,-48.09929999310359,-145.4983344899728
2965.623967322229,-21.72333052044763,-47.90316889987202,-146.6963134641676
3029.145977149923,-21.78196956377806,-47.69533600412133,-151.1720181904346
3094.028592967117,-21.84295376442032,-47.72922946630558,-149.8970713689109
3160.300958194555,-21.90204450175022,-47.81789708068636,-154.055146159007
3227.992840488783,-21.96117557643215,-47.51278190398409,-157.1066114518529
3297.134645112921,-22.01786323148384,-47.52395789925238,-157.1887023698704
3367.757428593864,-22.07550103211113,-47.43439763786347,-159.4081811183833
3439.892912671974,-22.13088444728289,-47.32385029278112,-163.0519499594285
3513.573498549581,-22.18485270705307,-47.67781251593171,-164.654786734186
3588.832281444676,-22.24044539555619,-47.27194977846341,-166.7942018434538
3665.703065456351,-22.2933639095614,-47.12605135012502,-168.4672825659345
3744.220378748634,-22.34628764623947,-46.89706947775448,-168.7802958715244
3824.419489059534,-22.39873096416889,-47.07448899901939,-135.6744246962747
3906.336419542335,-22.4500747189385,-47.17177724912862,-102.3745925937144
3990.007964946156,-22.50051931743402,-47.25100033043121,-140.1535026699925
