#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B213B5
#Date Time: 2024-02-15 03:35:44.532
#Start: 500 Hz
#Stop: 2e+07 Hz
#Steps: 501
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.51697 V
#Offset: -0.000289588 V
#Relative: no
#Channel: Channel 2
#Range: 5.57616 V
#Offset: -0.000284749 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
500.0000000000009,-0.9947717043874621,-61.35796152650984,-55.48350600779122
510.7097208762208,-1.002474542904541,-60.02347807398755,-49.74731740586859
521.6488379949326,-1.009131408467648,-61.25084786162385,-51.45027215836863
532.822264895593,-1.015395085097911,-61.17996616164541,-46.03276146002602
544.2350203629271,-1.021271578064747,-60.60314818943075,-48.86882552803982
555.8922306812275,-1.029288763163616,-60.63809679287863,-50.45460455513483
567.7991319369378,-1.033404472423584,-61.2819210620966,-47.76799083262985
579.9610723705468,-1.035334614508051,-61.56373698797354,-47.67679292762831
592.383514778869,-1.043565083550738,-62.09503397862172,-51.33783040052695
605.0720389687805,-1.047924074589417,-60.93109191410272,-41.77978057545672
618.0323442635009,-1.0534336970859,-60.32433538670165,-51.92856592137544
631.2702520625768,-1.058676281672362,-60.65072064355736,-43.8629380014208
644.791708456679,-1.06288558423906,-59.99896275128084,-49.70301296449928
658.6027868984215,-1.065750950777846,-60.28332582189614,-45.61307431765201
672.7096909303867,-1.070321879634171,-60.30007655383739,-46.12134706837749
687.1187569715719,-1.076665118532191,-59.50507544992586,-52.45670715214599
701.8364571635318,-1.080379600343299,-61.20889002327679,-53.173534260189
716.8694022774847,-1.082446974614325,-60.4634914663777,-42.82304224092866
732.2243446836735,-1.086346972299212,-60.10955156308669,-49.29707437254419
747.9081813843421,-1.090048771458655,-60.05120761493188,-52.37198127409614
763.9279571116773,-1.095422944343105,-59.79238285246142,-48.50029565729068
780.290867492091,-1.096622824703158,-59.79535696896826,-53.32357019757409
797.004262278297,-1.100727966704018,-59.52230567097959,-49.20893007680529
814.0756486506131,-1.105772981830685,-59.9675699023905,-53.28786293125038
831.5126945889645,-1.108014207771526,-61.00955878951211,-55.27429086373282
849.3232323171252,-1.110083740601731,-60.1064177565248,-46.51515177806023
867.5152618207356,-1.11203214366315,-58.57664324031768,-49.17315950477188
886.0969544406555,-1.115523285991469,-59.4168045308598,-55.84674489771142
905.0766565433113,-1.116529081249476,-60.33415862262079,-53.05238634788999
924.4628932696336,-1.118341019668241,-60.22749825197911,-51.54161251391822
944.2643723643124,-1.123091713544923,-59.70225464350132,-47.46997354981487
964.4899880870739,-1.125972652766572,-58.43537338723303,-61.33239177478647
985.1488252077163,-1.125699264893818,-59.12898701100337,-56.73519273652013
1006.250163086735,-1.126997085309114,-58.09550792763756,-54.78609627583721
1027.803479843355,-1.129513446196306,-60.15693777796248,-57.28378175635506
1049.818456612814,-1.132500957939207,-58.73120759984693,-66.48487518506809
1072.304981894866,-1.13257731534397,-59.16515389822729,-56.65267582699502
1095.273155995412,-1.13493387388158,-59.19681838058928,-63.93533163108123
1118.733295563266,-1.137392870170526,-59.26428054093609,-58.13791367793317
1142.695938224099,-1.138667563765938,-59.08993251930512,-65.33211118115487
1167.171847313637,-1.140479268726308,-58.77912310820136,-59.29972544170622
1192.172016712258,-1.141588085957844,-59.11736251178729,-64.18171869699449
1217.707675783115,-1.142423252150153,-59.3813927352324,-58.87327574400246
1243.790294416048,-1.146274659681175,-59.83133991396581,-68.39810165045121
1270.431588179542,-1.147317471223016,-58.6157139311554,-69.71429318598555
