Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10.00000000000002,-0.1294545202611262,-0.6649684913571066,-41.70016870775934
10.29442419607396,-0.1359011763148191,-0.7368790928642401,-42.8282016019111
10.5975169528713,-0.1426807789433498,-0.8137008373776298,-43.97693410857863
10.9095334937942,-0.1495898377066567,-0.8940056062291789,-45.14979008007143
11.23073655663941,-0.1567330779861654,-0.9799873981082927,-46.34262374282432
11.5613966148401,-0.1641591172179966,-1.069226389824598,-47.55962019400427
11.90179210522173,-0.1710510866920548,-1.16445560219959,-48.79652393485004
12.25220966246363,-0.1783244593281237,-1.264900721271846,-50.05640391422298
12.61294436046368,-0.1858509463335695,-1.370706256922255,-51.33740622771624
12.98429996080916,-0.1930826531891172,-1.480870757894114,-52.64057867288961
13.36658916856357,-0.200508068330926,-1.596353407615668,-53.96655763306073
13.76013389558409,-0.208127150381398,-1.71791214896698,-55.31003530988797
14.1652655315918,-0.2164762844471773,-1.845479056310312,-56.67656256679482
14.58232522322308,-0.2290357835891906,-1.975797215666746,-58.06891189071655
15.01166416129673,-0.2478713500036522,-2.112019992660732,-59.48909050371287
15.4536438765389,-0.2714488818919522,-2.253743663389409,-60.9362173555843
15.90863654401519,-0.2983520557491647,-2.40092772841705,-62.41555415285329
16.37702529652561,-0.3275428271858097,-2.553937891399307,-63.92490357272098
16.85920454722685,-0.3578011643031292,-2.716256733053759,-65.45779746155678
17.35558032175318,-0.3895246191514765,-2.88349632876022,-67.02417997305406
17.86657060011607,-0.4208044553727426,-3.060682230726614,-68.61349919364595
18.39260566866984,-0.4514113493028311,-3.246102391360195,-70.22592782700049
18.93412848244015,-0.4812683195122166,-3.437985129427899,-71.86816869397302
19.49159503812046,-0.5089959414918978,-3.63979257316901,-73.52780909452791
20.06547475805024,-0.535093404595501,-3.850678180451945,-75.21170154291855
20.65625088549832,-0.5588272034855747,-4.069583373891669,-76.91247227668249
21.26442089158477,-0.5793262798509993,-4.299073504441108,-78.63352836538984
21.89049689418308,-0.5975065563305136,-4.538801162576073,-80.36775710025545
22.53500608915597,-0.612826310647881,-4.787652177521039,-82.12472195176036
23.19849119428807,-0.6249192738026831,-5.046473342302059,-83.89865928500038
23.88151090628878,-0.6328694863092544,-5.318168525460493,-85.6809160216435
24.58464037125028,-0.6374143324556757,-5.596113356873023,-87.48008738271298
