#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B213B5
#Date Time: 2024-01-23 19:59:55.025
#Start: 10 Hz
#Stop: 2e+07 Hz
#Steps: 501
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.51697 V
#Offset: -0.000289588 V
#Relative: no
#Channel: Channel 2
#Range: 5.57616 V
#Offset: -0.000284749 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10.00000000000002,-0.1292158116917593,-0.6637452578849743,-41.67997408039717
10.29442419607396,-0.1356749882159556,-0.7359714148292045,-42.80854606818341
10.5975169528713,-0.1426207546289773,-0.8125330864185326,-43.95834430231061
10.9095334937942,-0.1489689839352444,-0.8931919935600214,-45.13028844873486
11.23073655663941,-0.1561492038357466,-0.9790222504765876,-46.32107489352684
11.5613966148401,-0.163084075501509,-1.068732853435067,-47.53830564532642
11.90179210522173,-0.1704236792932103,-1.163218180955095,-48.77614012004445
12.25220966246363,-0.1775324503901082,-1.26367485990544,-50.03534340163711
12.61294436046368,-0.1848747368457728,-1.369711654208599,-51.31460750863839
12.98429996080916,-0.192198760654325,-1.479894752912824,-52.61792028776735
13.36658916856357,-0.199438571946771,-1.595257473543582,-53.94325268418733
13.76013389558409,-0.2072400358491329,-1.717183359109193,-55.28786357118314
14.1652655315918,-0.2155411330305937,-1.84452855077733,-56.65215741214648
14.58232522322308,-0.227871242187032,-1.974586994221228,-58.04556979895014
15.01166416129673,-0.2466272002768416,-2.110539219531261,-59.46331792269139
15.4536438765389,-0.2701439615996112,-2.252301686131194,-60.91091145692856
15.90863654401519,-0.2966542144601287,-2.399858532709173,-62.3896245771482
16.37702529652561,-0.3255962211064928,-2.553133617600631,-63.89811698011422
16.85920454722685,-0.3563102310125211,-2.714865662220984,-65.43410104940995
17.35558032175318,-0.3877646430123851,-2.882395405786839,-66.99749986126692
17.86657060011607,-0.4190315837926873,-3.059297245007098,-68.58709529485674
18.39260566866984,-0.4501148404852644,-3.244210030548518,-70.200106757466
